label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
S1,/mnt/onetb/scratch/qpsk_variants/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
lockedwrong_rail,lockedwrong_rail.iq,44,0,0.000,5280,2321,0.43958333,0.43895349
rail_unswap_p0.iq,rail_unswap_p0.iq,44,0,0.000,5280,2321,0.43958333,0.43895349
rail_unswap_p1.iq,rail_unswap_p1.iq,44,0,0.000,5280,2321,0.43958333,0.43895349
rail_Qadv.iq,rail_Qadv.iq,44,0,0.000,5280,2317,0.43882576,0.43817829
rail_Qdel.iq,rail_Qdel.iq,43,0,0.000,5160,2269,0.43972868,0.43888889
rail_swap_Qadv.iq,rail_swap_Qadv.iq,43,0,0.000,5160,2269,0.43972868,0.43888889
rail_swap_Qdel.iq,rail_swap_Qdel.iq,44,0,0.000,5280,2317,0.43882576,0.43817829
txrate_fix_air,txrate_fix_air_n.iq,12,12,100.000,1440,0,0.00000000,0.00000000
txrate_stock_air,txrate_stock_air_n.iq,16,0,0.000,1920,789,0.41093750,0.40944444
S1,/mnt/onetb/scratch/qpsk_variants/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk-jupiter-modem/jupiter_240k5_byte/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
